CustomerID,City,CountryRegionName,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer,Age
11000,Rockhampton,Australia,Bachelors ,Professional,M,M,1,0,0,2,137947,0,52
11001,Seaford,Australia,Bachelors ,Professional,M,S,0,1,3,3,101141,1,53
11002,Hobart,Australia,Bachelors ,Professional,M,M,1,1,3,3,91945,0,53
11003,North Ryde,Australia,Bachelors ,Professional,F,S,0,1,0,0,86688,0,50
11004,Wollongong,Australia,Bachelors ,Professional,F,S,1,4,5,5,92771,1,50
11005,East Brisbane,Australia,Bachelors ,Professional,M,S,1,1,0,0,103199,1,53
11006,Matraville,Australia,Bachelors ,Professional,F,S,1,1,0,0,84756,1,52
11007,Warrnambool,Australia,Bachelors ,Professional,M,M,1,2,3,3,109759,1,54
11008,Bendigo,Australia,Bachelors ,Professional,F,S,1,3,4,4,88005,1,54
11009,Hervey Bay,Australia,Bachelors ,Professional,M,S,0,1,0,0,106399,0,54
11010,East Brisbane,Australia,Bachelors ,Professional,F,S,0,1,0,0,81294,0,54
11011,East Brisbane,Australia,Bachelors ,Professional,M,M,1,4,4,4,94029,1,54
11012,Bremerton,United States,Bachelors ,Management,F,M,1,2,0,2,99245,1,50
11013,Lebanon,United States,Bachelors ,Management,M,M,1,3,0,2,115859,0,50
11014,Redmond,United States,Bachelors ,Management,F,S,0,3,0,3,105157,0,50
11015,Burbank,United States,Partial College,Skilled Manual,F,S,0,1,0,0,40011,0,39
11016,Imperial Beach,United States,Partial College,Skilled Manual,M,M,1,1,0,0,46808,0,39
11019,Langley,Canada,High School,Skilled Manual,M,S,0,2,0,0,49455,1,40
11020,Metchosin,Canada,High School,Skilled Manual,M,S,0,2,0,0,43857,0,40
11023,Bellflower,United States,Partial College,Skilled Manual,M,M,1,1,0,0,50046,0,40
11024,Concord,United States,Partial College,Skilled Manual,M,M,1,2,0,0,91276,0,40
11025,Hawthorne,Australia,Partial High School,Clerical,M,M,1,2,1,2,24334,0,72
11026,Goulburn,Australia,Partial College,Clerical,M,S,0,2,0,2,61905,0,72
11027,Warrnambool,Australia,Partial College,Clerical,M,M,1,2,0,2,49349,0,71
11028,St. Leonards,Australia,Partial College,Clerical,F,M,1,2,0,2,44068,0,72
11031,Matraville,Australia,High School,Skilled Manual,F,M,1,2,0,4,18843,0,71
11032,Melbourne,Australia,High School,Skilled Manual,F,M,1,2,0,4,15861,0,71
11033,Milsons Point,Australia,High School,Skilled Manual,M,M,1,2,0,4,35822,0,71
11034,North Sydney,Australia,High School,Skilled Manual,F,M,1,2,0,4,29017,0,71
11035,Cranbourne,Australia,Partial High School,Clerical,F,M,1,2,1,2,11721,0,70
11036,National City,United States,Partial College,Skilled Manual,F,M,1,2,0,0,84890,0,39
11037,Cliffside,Canada,Partial High School,Clerical,F,S,0,2,0,0,48651,0,40
11040,Tacoma,United States,Partial College,Skilled Manual,M,M,1,2,0,0,56248,0,41
11042,Los Angeles,United States,Partial College,Skilled Manual,F,M,1,2,0,0,70623,0,41
11043,Glendale,United States,Partial College,Skilled Manual,M,M,1,2,0,0,78150,0,42
11044,Hervey Bay,Australia,Partial High School,Clerical,M,M,1,2,1,2,24007,0,69
11045,Matraville,Australia,High School,Skilled Manual,M,S,0,2,0,3,51472,0,68
11046,Lavender Bay,Australia,High School,Skilled Manual,F,M,1,2,0,3,50798,0,68
11047,Geelong,Australia,High School,Skilled Manual,F,M,0,2,0,3,42738,0,68
11049,Chula Vista,United States,Partial High School,Clerical,F,S,1,2,0,0,48422,1,38
11050,Hobart,Australia,High School,Skilled Manual,M,M,1,2,0,3,58585,0,67
11051,Caloundra,Australia,High School,Skilled Manual,M,S,0,2,0,3,45982,0,67
11052,Matraville,Australia,Partial College,Clerical,F,S,0,2,0,2,50790,0,67
11053,San Diego,United States,Partial College,Skilled Manual,F,M,0,2,0,0,91599,0,38
11054,Geelong,Australia,Partial College,Skilled Manual,F,M,1,2,0,2,50018,0,66
11055,East Brisbane,Australia,Partial College,Skilled Manual,M,M,1,2,0,2,53459,0,66
11056,Newcastle,Australia,Partial College,Skilled Manual,F,M,1,2,0,3,38588,0,65
11057,Lane Cove,Australia,Graduate Degree,Management,M,M,1,2,0,2,119540,0,65
11058,Findon,Australia,Partial College,Skilled Manual,M,M,1,2,0,2,119982,0,64
11059,Townsville,Australia,Partial College,Skilled Manual,F,S,1,2,0,2,86953,0,64
11060,Warrnambool,Australia,Partial College,Skilled Manual,M,M,1,2,0,2,116368,0,64
11061,Gold Coast,Australia,Partial College,Skilled Manual,M,M,1,2,0,2,110712,1,64
11062,Portland,United States,High School,Skilled Manual,M,M,1,2,0,0,52145,0,43
11063,Redmond,United States,High School,Skilled Manual,F,S,1,2,0,0,49609,0,43
11064,Downey,United States,High School,Skilled Manual,M,M,1,2,0,0,58306,0,42
11065,La Jolla,United States,Partial College,Skilled Manual,F,M,0,2,0,0,73388,1,45
11066,Lebanon,United States,Partial College,Professional,F,M,1,2,0,0,61686,0,44
11067,Port Orchard,United States,Partial College,Professional,M,S,1,2,0,0,96049,1,42
11070,Sunbury,Australia,High School,Skilled Manual,M,M,1,2,0,2,109883,0,63
11071,Hawthorne,Australia,High School,Skilled Manual,F,S,1,2,0,2,106718,0,63
11072,St. Leonards,Australia,High School,Skilled Manual,F,S,0,2,0,2,97646,0,63
11073,Springwood,Australia,High School,Skilled Manual,F,S,1,2,0,2,58916,0,62
